[META] fileB_1m.bin.meta.json: 256 blocos x 4096 B  sha256=b41b6122bd779fcd...
[SEEDER] 256 blocos carregados de 'fileB_1m.bin'
[SEEDER] aguardando requisicoes... (Ctrl+C para encerrar)
[SERVER] ouvindo na porta 5000
[SERVER] bloco 61 -> 127.0.0.1:44288
[SERVER] bloco 62 -> 127.0.0.1:44296
[SERVER] bloco 62 -> 127.0.0.1:44298
[SERVER] bloco 63 -> 127.0.0.1:44304
[SERVER] bloco 63 -> 127.0.0.1:44312
[SERVER] bloco 64 -> 127.0.0.1:44324
[SERVER] bloco 64 -> 127.0.0.1:44338
[SERVER] bloco 65 -> 127.0.0.1:44354
[SERVER] bloco 65 -> 127.0.0.1:44362
[SERVER] bloco 66 -> 127.0.0.1:44370
[SERVER] bloco 66 -> 127.0.0.1:44376
[SERVER] bloco 67 -> 127.0.0.1:44392
[SERVER] bloco 67 -> 127.0.0.1:44398
[SERVER] bloco 68 -> 127.0.0.1:44406
[SERVER] bloco 68 -> 127.0.0.1:44418
[SERVER] bloco 69 -> 127.0.0.1:44422
[SERVER] bloco 69 -> 127.0.0.1:44424
[SERVER] bloco 70 -> 127.0.0.1:44432
[SERVER] bloco 70 -> 127.0.0.1:44444
[SERVER] bloco 71 -> 127.0.0.1:44452
[SERVER] bloco 71 -> 127.0.0.1:44454
[SERVER] bloco 72 -> 127.0.0.1:44464
[SERVER] bloco 72 -> 127.0.0.1:44474
[SERVER] bloco 73 -> 127.0.0.1:44486
[SERVER] bloco 73 -> 127.0.0.1:44496
[SERVER] bloco 74 -> 127.0.0.1:44510
[SERVER] bloco 74 -> 127.0.0.1:44500
[SERVER] bloco 75 -> 127.0.0.1:44512
[SERVER] bloco 75 -> 127.0.0.1:44524
[SERVER] bloco 76 -> 127.0.0.1:44534
[SERVER] bloco 76 -> 127.0.0.1:44546
[SERVER] bloco 77 -> 127.0.0.1:44550
[SERVER] bloco 77 -> 127.0.0.1:44552
[SERVER] bloco 78 -> 127.0.0.1:44558
[SERVER] bloco 78 -> 127.0.0.1:44572
[SERVER] bloco 79 -> 127.0.0.1:44588
[SERVER] bloco 79 -> 127.0.0.1:44590
[SERVER] bloco 80 -> 127.0.0.1:44598
[SERVER] bloco 80 -> 127.0.0.1:44610
[SERVER] bloco 81 -> 127.0.0.1:44616
[SERVER] bloco 81 -> 127.0.0.1:44622
[SERVER] bloco 82 -> 127.0.0.1:44634
[SERVER] bloco 82 -> 127.0.0.1:44644
[SERVER] bloco 83 -> 127.0.0.1:44658
[SERVER] bloco 83 -> 127.0.0.1:44660
[SERVER] bloco 84 -> 127.0.0.1:44670
[SERVER] bloco 84 -> 127.0.0.1:44674
[SERVER] bloco 85 -> 127.0.0.1:44688
[SERVER] bloco 85 -> 127.0.0.1:44694
[SERVER] bloco 86 -> 127.0.0.1:44698
[SERVER] bloco 86 -> 127.0.0.1:44714
[SERVER] bloco 87 -> 127.0.0.1:44726
[SERVER] bloco 87 -> 127.0.0.1:44734
[SERVER] bloco 88 -> 127.0.0.1:44740
[SERVER] bloco 88 -> 127.0.0.1:44750
[SERVER] bloco 89 -> 127.0.0.1:44756
[SERVER] bloco 89 -> 127.0.0.1:44764
[SERVER] bloco 90 -> 127.0.0.1:44770
[SERVER] bloco 90 -> 127.0.0.1:44772
[SERVER] bloco 91 -> 127.0.0.1:44784
[SERVER] bloco 91 -> 127.0.0.1:44796
[SERVER] bloco 92 -> 127.0.0.1:44800
[SERVER] bloco 92 -> 127.0.0.1:44816
[SERVER] bloco 93 -> 127.0.0.1:44826
[SERVER] bloco 93 -> 127.0.0.1:44836
[SERVER] bloco 94 -> 127.0.0.1:44842
[SERVER] bloco 94 -> 127.0.0.1:44852
[SERVER] bloco 95 -> 127.0.0.1:44866
[SERVER] bloco 95 -> 127.0.0.1:44878
[SERVER] bloco 96 -> 127.0.0.1:44884
