[META] fileB_1m.bin.meta.json: 256 blocos x 4096 B  sha256=b41b6122bd779fcd...
[SEEDER] 256 blocos carregados de 'fileB_1m.bin'
[SEEDER] aguardando requisicoes... (Ctrl+C para encerrar)
[SERVER] ouvindo na porta 5000
[SERVER] bloco 118 -> 127.0.0.1:41972
[SERVER] bloco 119 -> 127.0.0.1:41978
[SERVER] bloco 120 -> 127.0.0.1:41992
[SERVER] bloco 121 -> 127.0.0.1:42006
[SERVER] bloco 122 -> 127.0.0.1:42016
[SERVER] bloco 123 -> 127.0.0.1:42028
[SERVER] bloco 124 -> 127.0.0.1:42032
[SERVER] bloco 125 -> 127.0.0.1:42034
[SERVER] bloco 126 -> 127.0.0.1:42042
[SERVER] bloco 127 -> 127.0.0.1:42056
[SERVER] bloco 128 -> 127.0.0.1:42064
[SERVER] bloco 129 -> 127.0.0.1:42076
[SERVER] bloco 130 -> 127.0.0.1:42084
[SERVER] bloco 131 -> 127.0.0.1:42094
[SERVER] bloco 132 -> 127.0.0.1:42098
[SERVER] bloco 133 -> 127.0.0.1:42106
[SERVER] bloco 134 -> 127.0.0.1:42120
[SERVER] bloco 135 -> 127.0.0.1:42122
[SERVER] bloco 136 -> 127.0.0.1:42132
[SERVER] bloco 137 -> 127.0.0.1:42140
[SERVER] bloco 138 -> 127.0.0.1:42148
[SERVER] bloco 139 -> 127.0.0.1:42162
[SERVER] bloco 140 -> 127.0.0.1:42170
[SERVER] bloco 141 -> 127.0.0.1:42180
[SERVER] bloco 142 -> 127.0.0.1:42188
[SERVER] bloco 143 -> 127.0.0.1:42204
[SERVER] bloco 144 -> 127.0.0.1:42218
[SERVER] bloco 145 -> 127.0.0.1:42230
[SERVER] bloco 146 -> 127.0.0.1:42232
[SERVER] bloco 147 -> 127.0.0.1:42248
[SERVER] bloco 148 -> 127.0.0.1:42252
[SERVER] bloco 149 -> 127.0.0.1:42266
[SERVER] bloco 150 -> 127.0.0.1:42278
[SERVER] bloco 151 -> 127.0.0.1:42290
[SERVER] bloco 152 -> 127.0.0.1:42294
[SERVER] bloco 153 -> 127.0.0.1:42296
[SERVER] bloco 154 -> 127.0.0.1:42306
[SERVER] bloco 155 -> 127.0.0.1:42310
[SERVER] bloco 156 -> 127.0.0.1:42316
[SERVER] bloco 157 -> 127.0.0.1:42330
[SERVER] bloco 158 -> 127.0.0.1:42344
[SERVER] bloco 159 -> 127.0.0.1:42348
[SERVER] bloco 160 -> 127.0.0.1:42360
[SERVER] bloco 161 -> 127.0.0.1:42366
[SERVER] bloco 162 -> 127.0.0.1:42370
[SERVER] bloco 163 -> 127.0.0.1:42382
[SERVER] bloco 164 -> 127.0.0.1:42392
[SERVER] bloco 165 -> 127.0.0.1:42396
[SERVER] bloco 166 -> 127.0.0.1:42410
[SERVER] bloco 167 -> 127.0.0.1:42422
[SERVER] bloco 168 -> 127.0.0.1:42428
[SERVER] bloco 169 -> 127.0.0.1:42436
[SERVER] bloco 170 -> 127.0.0.1:42450
[SERVER] bloco 171 -> 127.0.0.1:42464
[SERVER] bloco 172 -> 127.0.0.1:42468
[SERVER] bloco 173 -> 127.0.0.1:42484
[SERVER] bloco 174 -> 127.0.0.1:42488
[SERVER] bloco 175 -> 127.0.0.1:42492
[SERVER] bloco 176 -> 127.0.0.1:42504
[SERVER] bloco 177 -> 127.0.0.1:42508
[SERVER] bloco 178 -> 127.0.0.1:42520
[SERVER] bloco 179 -> 127.0.0.1:42524
[SERVER] bloco 180 -> 127.0.0.1:42530
[SERVER] bloco 181 -> 127.0.0.1:42546
[SERVER] bloco 182 -> 127.0.0.1:42554
[SERVER] bloco 183 -> 127.0.0.1:42564
[SERVER] bloco 184 -> 127.0.0.1:42578
[SERVER] bloco 185 -> 127.0.0.1:42594
[SERVER] bloco 186 -> 127.0.0.1:42600
[SERVER] bloco 187 -> 127.0.0.1:42606
[SERVER] bloco 188 -> 127.0.0.1:42612
[SERVER] bloco 189 -> 127.0.0.1:42614
[SERVER] bloco 190 -> 127.0.0.1:42616
[SERVER] bloco 191 -> 127.0.0.1:42626
[SERVER] bloco 192 -> 127.0.0.1:42630
[SERVER] bloco 193 -> 127.0.0.1:42638
[SERVER] bloco 194 -> 127.0.0.1:42644
[SERVER] bloco 195 -> 127.0.0.1:42658
[SERVER] bloco 196 -> 127.0.0.1:42666
[SERVER] bloco 197 -> 127.0.0.1:42678
[SERVER] bloco 198 -> 127.0.0.1:42688
[SERVER] bloco 199 -> 127.0.0.1:42692
[SERVER] bloco 200 -> 127.0.0.1:42704
[SERVER] bloco 201 -> 127.0.0.1:42718
[SERVER] bloco 202 -> 127.0.0.1:42728
[SERVER] bloco 203 -> 127.0.0.1:42738
[SERVER] bloco 204 -> 127.0.0.1:42744
[SERVER] bloco 205 -> 127.0.0.1:42748
[SERVER] bloco 206 -> 127.0.0.1:42760
[SERVER] bloco 207 -> 127.0.0.1:42768
[SERVER] bloco 208 -> 127.0.0.1:42784
[SERVER] bloco 209 -> 127.0.0.1:42792
[SERVER] bloco 210 -> 127.0.0.1:42796
[SERVER] bloco 211 -> 127.0.0.1:42808
[SERVER] bloco 212 -> 127.0.0.1:42814
[SERVER] bloco 213 -> 127.0.0.1:42822
[SERVER] bloco 214 -> 127.0.0.1:42826
[SERVER] bloco 215 -> 127.0.0.1:42836
[SERVER] bloco 216 -> 127.0.0.1:42846
[SERVER] bloco 217 -> 127.0.0.1:42860
[SERVER] bloco 218 -> 127.0.0.1:42862
[SERVER] bloco 219 -> 127.0.0.1:42876
[SERVER] bloco 220 -> 127.0.0.1:42886
[SERVER] bloco 221 -> 127.0.0.1:42900
[SERVER] bloco 222 -> 127.0.0.1:42908
[SERVER] bloco 223 -> 127.0.0.1:42922
