[META] fileB_5m.bin.meta.json: 1280 blocos x 4096 B  sha256=bb7ba1b51c65ed68...
[SEEDER] 1280 blocos carregados de 'fileB_5m.bin'
[SEEDER] aguardando requisicoes... (Ctrl+C para encerrar)
[SERVER] ouvindo na porta 5000
[SERVER] bloco 118 -> 127.0.0.1:47766
[SERVER] bloco 119 -> 127.0.0.1:47772
[SERVER] bloco 120 -> 127.0.0.1:47774
[SERVER] bloco 121 -> 127.0.0.1:47784
[SERVER] bloco 122 -> 127.0.0.1:47796
[SERVER] bloco 123 -> 127.0.0.1:47806
[SERVER] bloco 124 -> 127.0.0.1:47812
[SERVER] bloco 125 -> 127.0.0.1:47822
[SERVER] bloco 126 -> 127.0.0.1:47838
[SERVER] bloco 127 -> 127.0.0.1:47842
[SERVER] bloco 128 -> 127.0.0.1:47844
[SERVER] bloco 129 -> 127.0.0.1:47850
[SERVER] bloco 130 -> 127.0.0.1:47854
[SERVER] bloco 131 -> 127.0.0.1:47864
[SERVER] bloco 132 -> 127.0.0.1:47878
[SERVER] bloco 133 -> 127.0.0.1:47884
[SERVER] bloco 134 -> 127.0.0.1:47896
[SERVER] bloco 135 -> 127.0.0.1:47906
[SERVER] bloco 136 -> 127.0.0.1:47912
[SERVER] bloco 137 -> 127.0.0.1:47914
[SERVER] bloco 138 -> 127.0.0.1:47920
[SERVER] bloco 139 -> 127.0.0.1:47932
[SERVER] bloco 140 -> 127.0.0.1:47944
[SERVER] bloco 141 -> 127.0.0.1:47948
[SERVER] bloco 142 -> 127.0.0.1:47954
[SERVER] bloco 143 -> 127.0.0.1:47960
[SERVER] bloco 144 -> 127.0.0.1:47968
[SERVER] bloco 145 -> 127.0.0.1:47984
[SERVER] bloco 146 -> 127.0.0.1:47992
[SERVER] bloco 147 -> 127.0.0.1:48008
[SERVER] bloco 148 -> 127.0.0.1:48018
[SERVER] bloco 149 -> 127.0.0.1:48030
[SERVER] bloco 150 -> 127.0.0.1:48044
[SERVER] bloco 151 -> 127.0.0.1:48050
[SERVER] bloco 152 -> 127.0.0.1:48060
[SERVER] bloco 153 -> 127.0.0.1:48066
[SERVER] bloco 154 -> 127.0.0.1:48068
[SERVER] bloco 155 -> 127.0.0.1:48078
[SERVER] bloco 156 -> 127.0.0.1:48082
[SERVER] bloco 157 -> 127.0.0.1:48086
[SERVER] bloco 158 -> 127.0.0.1:48094
[SERVER] bloco 159 -> 127.0.0.1:48102
[SERVER] bloco 160 -> 127.0.0.1:48108
[SERVER] bloco 161 -> 127.0.0.1:48116
[SERVER] bloco 162 -> 127.0.0.1:48118
[SERVER] bloco 163 -> 127.0.0.1:48134
[SERVER] bloco 164 -> 127.0.0.1:48138
[SERVER] bloco 165 -> 127.0.0.1:48140
[SERVER] bloco 166 -> 127.0.0.1:48142
[SERVER] bloco 167 -> 127.0.0.1:48154
[SERVER] bloco 168 -> 127.0.0.1:48164
[SERVER] bloco 169 -> 127.0.0.1:48174
[SERVER] bloco 170 -> 127.0.0.1:48180
[SERVER] bloco 171 -> 127.0.0.1:48182
[SERVER] bloco 172 -> 127.0.0.1:48190
[SERVER] bloco 173 -> 127.0.0.1:48204
[SERVER] bloco 174 -> 127.0.0.1:48216
[SERVER] bloco 175 -> 127.0.0.1:48228
[SERVER] bloco 176 -> 127.0.0.1:48230
[SERVER] bloco 177 -> 127.0.0.1:48244
[SERVER] bloco 178 -> 127.0.0.1:48254
[SERVER] bloco 179 -> 127.0.0.1:48256
[SERVER] bloco 180 -> 127.0.0.1:48260
[SERVER] bloco 181 -> 127.0.0.1:48270
[SERVER] bloco 182 -> 127.0.0.1:48278
[SERVER] bloco 183 -> 127.0.0.1:48284
[SERVER] bloco 184 -> 127.0.0.1:48286
[SERVER] bloco 185 -> 127.0.0.1:48292
[SERVER] bloco 186 -> 127.0.0.1:48306
[SERVER] bloco 187 -> 127.0.0.1:48322
[SERVER] bloco 188 -> 127.0.0.1:48338
[SERVER] bloco 189 -> 127.0.0.1:48348
[SERVER] bloco 190 -> 127.0.0.1:48360
[SERVER] bloco 191 -> 127.0.0.1:48366
[SERVER] bloco 192 -> 127.0.0.1:48372
[SERVER] bloco 193 -> 127.0.0.1:48386
[SERVER] bloco 194 -> 127.0.0.1:48394
[SERVER] bloco 195 -> 127.0.0.1:48406
[SERVER] bloco 196 -> 127.0.0.1:48420
[SERVER] bloco 197 -> 127.0.0.1:48426
[SERVER] bloco 198 -> 127.0.0.1:48432
[SERVER] bloco 199 -> 127.0.0.1:48436
[SERVER] bloco 200 -> 127.0.0.1:48452
[SERVER] bloco 201 -> 127.0.0.1:48464
[SERVER] bloco 202 -> 127.0.0.1:48474
[SERVER] bloco 203 -> 127.0.0.1:48486
[SERVER] bloco 204 -> 127.0.0.1:48498
[SERVER] bloco 205 -> 127.0.0.1:48502
[SERVER] bloco 206 -> 127.0.0.1:48504
[SERVER] bloco 207 -> 127.0.0.1:48512
[SERVER] bloco 208 -> 127.0.0.1:48516
[SERVER] bloco 209 -> 127.0.0.1:48524
[SERVER] bloco 210 -> 127.0.0.1:48526
[SERVER] bloco 211 -> 127.0.0.1:48542
[SERVER] bloco 212 -> 127.0.0.1:48550
[SERVER] bloco 213 -> 127.0.0.1:48562
[SERVER] bloco 214 -> 127.0.0.1:48564
[SERVER] bloco 215 -> 127.0.0.1:48566
[SERVER] bloco 216 -> 127.0.0.1:48568
[SERVER] bloco 217 -> 127.0.0.1:48584
[SERVER] bloco 218 -> 127.0.0.1:48596
[SERVER] bloco 219 -> 127.0.0.1:48600
[SERVER] bloco 220 -> 127.0.0.1:48606
[SERVER] bloco 221 -> 127.0.0.1:48608
[SERVER] bloco 222 -> 127.0.0.1:48614
[SERVER] bloco 223 -> 127.0.0.1:48616
[SERVER] bloco 224 -> 127.0.0.1:48628
[SERVER] bloco 225 -> 127.0.0.1:48636
[SERVER] bloco 226 -> 127.0.0.1:48642
[SERVER] bloco 227 -> 127.0.0.1:48646
[SERVER] bloco 228 -> 127.0.0.1:48650
[SERVER] bloco 229 -> 127.0.0.1:48656
[SERVER] bloco 230 -> 127.0.0.1:48672
[SERVER] bloco 231 -> 127.0.0.1:48684
[SERVER] bloco 232 -> 127.0.0.1:48686
[SERVER] bloco 233 -> 127.0.0.1:48698
[SERVER] bloco 234 -> 127.0.0.1:48706
[SERVER] bloco 235 -> 127.0.0.1:48708
[SERVER] bloco 236 -> 127.0.0.1:48712
[SERVER] bloco 237 -> 127.0.0.1:48714
