[META] fileC_10m.bin.meta.json: 2560 blocos x 4096 B  sha256=a8d923f027ed0245...
[SEEDER] 2560 blocos carregados de 'fileC_10m.bin'
[SEEDER] aguardando requisicoes... (Ctrl+C para encerrar)
[SERVER] ouvindo na porta 5000
[SERVER] bloco 118 -> 127.0.0.1:59036
[SERVER] bloco 119 -> 127.0.0.1:59040
[SERVER] bloco 120 -> 127.0.0.1:59052
[SERVER] bloco 121 -> 127.0.0.1:59068
[SERVER] bloco 122 -> 127.0.0.1:59076
[SERVER] bloco 123 -> 127.0.0.1:59088
[SERVER] bloco 124 -> 127.0.0.1:59096
[SERVER] bloco 125 -> 127.0.0.1:59112
[SERVER] bloco 126 -> 127.0.0.1:59120
[SERVER] bloco 127 -> 127.0.0.1:59122
[SERVER] bloco 128 -> 127.0.0.1:59130
[SERVER] bloco 129 -> 127.0.0.1:59134
[SERVER] bloco 130 -> 127.0.0.1:59138
[SERVER] bloco 131 -> 127.0.0.1:59152
[SERVER] bloco 132 -> 127.0.0.1:59166
[SERVER] bloco 133 -> 127.0.0.1:59180
[SERVER] bloco 134 -> 127.0.0.1:59196
[SERVER] bloco 135 -> 127.0.0.1:59204
[SERVER] bloco 136 -> 127.0.0.1:59218
[SERVER] bloco 137 -> 127.0.0.1:59234
[SERVER] bloco 138 -> 127.0.0.1:59244
[SERVER] bloco 139 -> 127.0.0.1:59246
[SERVER] bloco 140 -> 127.0.0.1:59256
[SERVER] bloco 141 -> 127.0.0.1:59272
[SERVER] bloco 142 -> 127.0.0.1:59278
[SERVER] bloco 143 -> 127.0.0.1:59288
[SERVER] bloco 144 -> 127.0.0.1:59292
[SERVER] bloco 145 -> 127.0.0.1:59294
[SERVER] bloco 146 -> 127.0.0.1:59298
[SERVER] bloco 147 -> 127.0.0.1:59306
[SERVER] bloco 148 -> 127.0.0.1:59320
[SERVER] bloco 149 -> 127.0.0.1:59324
[SERVER] bloco 150 -> 127.0.0.1:59326
[SERVER] bloco 151 -> 127.0.0.1:59332
[SERVER] bloco 152 -> 127.0.0.1:59336
[SERVER] bloco 153 -> 127.0.0.1:59348
[SERVER] bloco 154 -> 127.0.0.1:59352
[SERVER] bloco 155 -> 127.0.0.1:59354
[SERVER] bloco 156 -> 127.0.0.1:59362
[SERVER] bloco 157 -> 127.0.0.1:59376
[SERVER] bloco 158 -> 127.0.0.1:59384
[SERVER] bloco 159 -> 127.0.0.1:59398
[SERVER] bloco 160 -> 127.0.0.1:59406
[SERVER] bloco 161 -> 127.0.0.1:59420
[SERVER] bloco 162 -> 127.0.0.1:59428
[SERVER] bloco 163 -> 127.0.0.1:59432
[SERVER] bloco 164 -> 127.0.0.1:59444
[SERVER] bloco 165 -> 127.0.0.1:59448
[SERVER] bloco 166 -> 127.0.0.1:59460
[SERVER] bloco 167 -> 127.0.0.1:59464
[SERVER] bloco 168 -> 127.0.0.1:59480
[SERVER] bloco 169 -> 127.0.0.1:59488
[SERVER] bloco 170 -> 127.0.0.1:59504
[SERVER] bloco 171 -> 127.0.0.1:59506
[SERVER] bloco 172 -> 127.0.0.1:59514
[SERVER] bloco 173 -> 127.0.0.1:59530
[SERVER] bloco 174 -> 127.0.0.1:59544
[SERVER] bloco 175 -> 127.0.0.1:59556
[SERVER] bloco 176 -> 127.0.0.1:59558
[SERVER] bloco 177 -> 127.0.0.1:59574
[SERVER] bloco 178 -> 127.0.0.1:59590
[SERVER] bloco 179 -> 127.0.0.1:59604
[SERVER] bloco 180 -> 127.0.0.1:59608
[SERVER] bloco 181 -> 127.0.0.1:59612
[SERVER] bloco 182 -> 127.0.0.1:59628
[SERVER] bloco 183 -> 127.0.0.1:59644
[SERVER] bloco 184 -> 127.0.0.1:59650
[SERVER] bloco 185 -> 127.0.0.1:59656
[SERVER] bloco 186 -> 127.0.0.1:59672
[SERVER] bloco 187 -> 127.0.0.1:59680
[SERVER] bloco 188 -> 127.0.0.1:59690
[SERVER] bloco 189 -> 127.0.0.1:59704
[SERVER] bloco 190 -> 127.0.0.1:59708
[SERVER] bloco 191 -> 127.0.0.1:59718
[SERVER] bloco 192 -> 127.0.0.1:59724
[SERVER] bloco 193 -> 127.0.0.1:59738
[SERVER] bloco 194 -> 127.0.0.1:59746
[SERVER] bloco 195 -> 127.0.0.1:59748
[SERVER] bloco 196 -> 127.0.0.1:59752
[SERVER] bloco 197 -> 127.0.0.1:59768
[SERVER] bloco 198 -> 127.0.0.1:59776
[SERVER] bloco 199 -> 127.0.0.1:59788
[SERVER] bloco 200 -> 127.0.0.1:59804
[SERVER] bloco 201 -> 127.0.0.1:59808
[SERVER] bloco 202 -> 127.0.0.1:59816
[SERVER] bloco 203 -> 127.0.0.1:59830
[SERVER] bloco 204 -> 127.0.0.1:59840
[SERVER] bloco 205 -> 127.0.0.1:59852
[SERVER] bloco 206 -> 127.0.0.1:59856
[SERVER] bloco 207 -> 127.0.0.1:59872
[SERVER] bloco 208 -> 127.0.0.1:59888
[SERVER] bloco 209 -> 127.0.0.1:59890
[SERVER] bloco 210 -> 127.0.0.1:59902
[SERVER] bloco 211 -> 127.0.0.1:59916
[SERVER] bloco 212 -> 127.0.0.1:59928
[SERVER] bloco 213 -> 127.0.0.1:59940
[SERVER] bloco 214 -> 127.0.0.1:59950
[SERVER] bloco 215 -> 127.0.0.1:59960
[SERVER] bloco 216 -> 127.0.0.1:59962
[SERVER] bloco 217 -> 127.0.0.1:59964
[SERVER] bloco 218 -> 127.0.0.1:59980
[SERVER] bloco 219 -> 127.0.0.1:59990
[SERVER] bloco 220 -> 127.0.0.1:60000
[SERVER] bloco 221 -> 127.0.0.1:60010
[SERVER] bloco 222 -> 127.0.0.1:60022
[SERVER] bloco 223 -> 127.0.0.1:60038
[SERVER] bloco 224 -> 127.0.0.1:60040
[SERVER] bloco 225 -> 127.0.0.1:60046
[SERVER] bloco 226 -> 127.0.0.1:60050
[SERVER] bloco 227 -> 127.0.0.1:60058
[SERVER] bloco 228 -> 127.0.0.1:60064
[SERVER] bloco 229 -> 127.0.0.1:60078
[SERVER] bloco 230 -> 127.0.0.1:60088
[SERVER] bloco 231 -> 127.0.0.1:60090
[SERVER] bloco 232 -> 127.0.0.1:60094
[SERVER] bloco 233 -> 127.0.0.1:60100
[SERVER] bloco 234 -> 127.0.0.1:60116
[SERVER] bloco 235 -> 127.0.0.1:60120
[SERVER] bloco 236 -> 127.0.0.1:60128
[SERVER] bloco 237 -> 127.0.0.1:60132
[SERVER] bloco 238 -> 127.0.0.1:60148
[SERVER] bloco 239 -> 127.0.0.1:60150
[SERVER] bloco 240 -> 127.0.0.1:60154
[SERVER] bloco 241 -> 127.0.0.1:60168
[SERVER] bloco 242 -> 127.0.0.1:60180
[SERVER] bloco 243 -> 127.0.0.1:60184
[SERVER] bloco 244 -> 127.0.0.1:60188
[SERVER] bloco 245 -> 127.0.0.1:60200
[SERVER] bloco 246 -> 127.0.0.1:60212
[SERVER] bloco 247 -> 127.0.0.1:60224
[SERVER] bloco 248 -> 127.0.0.1:60236
[SERVER] bloco 249 -> 127.0.0.1:60248
[SERVER] bloco 250 -> 127.0.0.1:60256
[SERVER] bloco 251 -> 127.0.0.1:60262
[SERVER] bloco 252 -> 127.0.0.1:60272
[SERVER] bloco 253 -> 127.0.0.1:60278
[SERVER] bloco 254 -> 127.0.0.1:60284
[SERVER] bloco 255 -> 127.0.0.1:60294
[SERVER] bloco 256 -> 127.0.0.1:60298
[SERVER] bloco 257 -> 127.0.0.1:60308
[SERVER] bloco 258 -> 127.0.0.1:60314
[SERVER] bloco 259 -> 127.0.0.1:60322
[SERVER] bloco 260 -> 127.0.0.1:60326
[SERVER] bloco 261 -> 127.0.0.1:60338
[SERVER] bloco 262 -> 127.0.0.1:60340
[SERVER] bloco 263 -> 127.0.0.1:60342
[SERVER] bloco 264 -> 127.0.0.1:60352
[SERVER] bloco 265 -> 127.0.0.1:60356
[SERVER] bloco 266 -> 127.0.0.1:60362
[SERVER] bloco 267 -> 127.0.0.1:60366
[SERVER] bloco 268 -> 127.0.0.1:60378
[SERVER] bloco 269 -> 127.0.0.1:60392
[SERVER] bloco 270 -> 127.0.0.1:60406
[SERVER] bloco 271 -> 127.0.0.1:60416
[SERVER] bloco 272 -> 127.0.0.1:60422
[SERVER] bloco 273 -> 127.0.0.1:60426
[SERVER] bloco 274 -> 127.0.0.1:60434
[SERVER] bloco 275 -> 127.0.0.1:60446
[SERVER] bloco 276 -> 127.0.0.1:60450
[SERVER] bloco 277 -> 127.0.0.1:60454
[SERVER] bloco 278 -> 127.0.0.1:60460
[SERVER] bloco 279 -> 127.0.0.1:60468
[SERVER] bloco 280 -> 127.0.0.1:60470
[SERVER] bloco 281 -> 127.0.0.1:60476
[SERVER] bloco 282 -> 127.0.0.1:60490
[SERVER] bloco 283 -> 127.0.0.1:60504
[SERVER] bloco 284 -> 127.0.0.1:60516
[SERVER] bloco 285 -> 127.0.0.1:60524
[SERVER] bloco 286 -> 127.0.0.1:60540
[SERVER] bloco 287 -> 127.0.0.1:60556
[SERVER] bloco 288 -> 127.0.0.1:60564
[SERVER] bloco 289 -> 127.0.0.1:60580
[SERVER] bloco 290 -> 127.0.0.1:60590
[SERVER] bloco 291 -> 127.0.0.1:60602
[SERVER] bloco 292 -> 127.0.0.1:60612
[SERVER] bloco 293 -> 127.0.0.1:60622
[SERVER] bloco 294 -> 127.0.0.1:60628
[SERVER] bloco 295 -> 127.0.0.1:60636
[SERVER] bloco 296 -> 127.0.0.1:60646
[SERVER] bloco 297 -> 127.0.0.1:60656
[SERVER] bloco 298 -> 127.0.0.1:60666
[SERVER] bloco 299 -> 127.0.0.1:60668
[SERVER] bloco 300 -> 127.0.0.1:60672
[SERVER] bloco 301 -> 127.0.0.1:60678
[SERVER] bloco 302 -> 127.0.0.1:60692
[SERVER] bloco 303 -> 127.0.0.1:60702
[SERVER] bloco 304 -> 127.0.0.1:60712
[SERVER] bloco 305 -> 127.0.0.1:60728
[SERVER] bloco 306 -> 127.0.0.1:60732
[SERVER] bloco 307 -> 127.0.0.1:60738
[SERVER] bloco 308 -> 127.0.0.1:60744
[SERVER] bloco 309 -> 127.0.0.1:60752
[SERVER] bloco 310 -> 127.0.0.1:60756
[SERVER] bloco 311 -> 127.0.0.1:60758
[SERVER] bloco 312 -> 127.0.0.1:60768
[SERVER] bloco 313 -> 127.0.0.1:60772
[SERVER] bloco 314 -> 127.0.0.1:60786
[SERVER] bloco 315 -> 127.0.0.1:60788
[SERVER] bloco 316 -> 127.0.0.1:60794
[SERVER] bloco 317 -> 127.0.0.1:60810
[SERVER] bloco 318 -> 127.0.0.1:60826
[SERVER] bloco 319 -> 127.0.0.1:60840
[SERVER] bloco 320 -> 127.0.0.1:60848
[SERVER] bloco 321 -> 127.0.0.1:60850
[SERVER] bloco 322 -> 127.0.0.1:60854
[SERVER] bloco 323 -> 127.0.0.1:60856
[SERVER] bloco 324 -> 127.0.0.1:60868
[SERVER] bloco 325 -> 127.0.0.1:60878
[SERVER] bloco 326 -> 127.0.0.1:60880
[SERVER] bloco 327 -> 127.0.0.1:60892
[SERVER] bloco 328 -> 127.0.0.1:60898
[SERVER] bloco 329 -> 127.0.0.1:60902
[SERVER] bloco 330 -> 127.0.0.1:60918
[SERVER] bloco 331 -> 127.0.0.1:60922
[SERVER] bloco 332 -> 127.0.0.1:60936
[SERVER] bloco 333 -> 127.0.0.1:60940
[SERVER] bloco 334 -> 127.0.0.1:60944
[SERVER] bloco 335 -> 127.0.0.1:60952
[SERVER] bloco 336 -> 127.0.0.1:60960
[SERVER] bloco 337 -> 127.0.0.1:60970
[SERVER] bloco 338 -> 127.0.0.1:60974
[SERVER] bloco 339 -> 127.0.0.1:60978
[SERVER] bloco 340 -> 127.0.0.1:60984
[SERVER] bloco 341 -> 127.0.0.1:32768
[SERVER] bloco 342 -> 127.0.0.1:32782
[SERVER] bloco 343 -> 127.0.0.1:32788
[SERVER] bloco 344 -> 127.0.0.1:32792
[SERVER] bloco 345 -> 127.0.0.1:32800
[SERVER] bloco 346 -> 127.0.0.1:32802
[SERVER] bloco 347 -> 127.0.0.1:32808
[SERVER] bloco 348 -> 127.0.0.1:32814
[SERVER] bloco 349 -> 127.0.0.1:32824
[SERVER] bloco 350 -> 127.0.0.1:32840
[SERVER] bloco 351 -> 127.0.0.1:32846
[SERVER] bloco 352 -> 127.0.0.1:32856
[SERVER] bloco 353 -> 127.0.0.1:32858
[SERVER] bloco 354 -> 127.0.0.1:32862
[SERVER] bloco 355 -> 127.0.0.1:32878
[SERVER] bloco 356 -> 127.0.0.1:32882
[SERVER] bloco 357 -> 127.0.0.1:32886
[SERVER] bloco 358 -> 127.0.0.1:32898
[SERVER] bloco 359 -> 127.0.0.1:32906
[SERVER] bloco 360 -> 127.0.0.1:32918
[SERVER] bloco 361 -> 127.0.0.1:32932
[SERVER] bloco 362 -> 127.0.0.1:32946
[SERVER] bloco 363 -> 127.0.0.1:32954
[SERVER] bloco 364 -> 127.0.0.1:32960
[SERVER] bloco 365 -> 127.0.0.1:32966
[SERVER] bloco 366 -> 127.0.0.1:32968
[SERVER] bloco 367 -> 127.0.0.1:32984
[SERVER] bloco 368 -> 127.0.0.1:32986
[SERVER] bloco 369 -> 127.0.0.1:32988
[SERVER] bloco 370 -> 127.0.0.1:32996
[SERVER] bloco 371 -> 127.0.0.1:33000
[SERVER] bloco 372 -> 127.0.0.1:33008
[SERVER] bloco 373 -> 127.0.0.1:33012
[SERVER] bloco 374 -> 127.0.0.1:33028
[SERVER] bloco 375 -> 127.0.0.1:33042
[SERVER] bloco 376 -> 127.0.0.1:33054
[SERVER] bloco 377 -> 127.0.0.1:33056
[SERVER] bloco 378 -> 127.0.0.1:33058
[SERVER] bloco 379 -> 127.0.0.1:33060
[SERVER] bloco 380 -> 127.0.0.1:33070
[SERVER] bloco 381 -> 127.0.0.1:33078
[SERVER] bloco 382 -> 127.0.0.1:33090
[SERVER] bloco 383 -> 127.0.0.1:33104
[SERVER] bloco 384 -> 127.0.0.1:33110
[SERVER] bloco 385 -> 127.0.0.1:33112
[SERVER] bloco 386 -> 127.0.0.1:33114
[SERVER] bloco 387 -> 127.0.0.1:33122
[SERVER] bloco 388 -> 127.0.0.1:33126
[SERVER] bloco 389 -> 127.0.0.1:33132
[SERVER] bloco 390 -> 127.0.0.1:33134
[SERVER] bloco 391 -> 127.0.0.1:33150
[SERVER] bloco 392 -> 127.0.0.1:33156
[SERVER] bloco 393 -> 127.0.0.1:33168
[SERVER] bloco 394 -> 127.0.0.1:33178
[SERVER] bloco 395 -> 127.0.0.1:33190
